"Zip Code","Community","Estimated Median Income"
90001,"Los Angeles (South Los Angeles), Florence-Graham","$33,887"
90002,"Los Angeles (Southeast Los Angeles, Watts)","$30,413"
90003,"Los Angeles (South Los Angeles, Southeast Los Angeles)","$30,805"
90004,"Los Angeles (Hancock Park, Rampart Village, Virgil Village, Wilshire Center, Windsor Square)","$40,612"
90005,"Los Angeles (Hancock Park, Koreatown, Wilshire Center, Wilshire Park, Windsor Square)","$31,142"
90006,"Los Angeles (Byzantine-Latino Quarter, Harvard Heights, Koreatown, Pico Heights)","$31,521"
90007,"Los Angeles (Southeast Los Angeles, Univerity Park)","$22,304"
90008,"Los Angeles (Baldwin Hills, Crenshaw, Leimert Park)","$36,564"
90010,"Los Angeles (Hancock Park, Wilshire Center, Windsor Square)","$45,786"
90011,"Los Angeles (Southeast Los Angeles)","$30,251"
90012,"Los Angeles (Downtown Civic Center, Chinatown, Arts District, Bunker Hill, Historic Core, Little Tokyo)","$31,576"
90013,"Los Angeles (Downtown Central, Downtown Fashion District)","$19,887"
90014,"Los Angeles (Downtown Historic Core, Arts District)","$23,642"
90015,"Los Angeles (Dowtown Fashion District, South Park-South)","$29,684"
90016,"Los Angeles (West Adams)","$38,330"
90017,"Los Angeles (Downtown Bunker Hill, City West, South Park-North)","$22,754"
90018,"Los Angeles (Jefferson Park, Leimert Park)","$33,864"
90019,"Los Angeles (Arlington Heights, Country Club Park, Mid-City)","$46,571"
90020,"Los Angeles (Hancock Park, Western Wilton, Wilshire Center, Windsor Square)","$38,849"
90021,"Los Angeles (Downtown Fashion District, Downtown Southeast)","$12,813"
90022,"East Los Angeles","$37,916"
90023,"Commerce, East Los Angeles","$35,736"
90024,"Los Angeles (Westwood)","$57,202"
90025,"Los Angeles (Sawtelle, West Los Angeles)","$71,183"
90026,"Los Angeles (Echo Park, Silver Lake)","$47,993"
90027,"Los Angeles (Griffith Park, Hollywood, Los Feliz)","$51,595"
90028,"Los Angeles (Hollywood)","$33,582"
90029,"Los Angeles (East Hollywood)","$33,912"
90031,"Los Angeles (Lincoln Heights, Montecito Heights)","$34,994"
90032,"Los Angeles (El Sereno, Monterey Hills)","$45,457"
90033,"Los Angeles (Boyle Heights)","$27,622"
90034,"Los Angeles (Palms)","$58,004"
90035,"Los Angeles (West Fairfax)","$73,794"
90036,"Los Angeles (Fairfax, Melrose, Miracle Mile, Park La Brea, Wilshire-La Brea)","$69,894"
90037,"Los Angeles (South Los Angeles)","$27,179"
90038,"Los Angeles (Hollywood)","$33,800"
90039,"Los Angeles (Atwater Village, Elysian Valley, Silver Lake)","$70,560"
90040,"Commerce, City of","$44,964"
90041,"Los Angeles (Eagle Rock)","$63,358"
90042,"Los Angeles (Highland Park)","$49,630"
90043,"Los Angeles (Hyde Park, View Park, Windsor Hills)","$38,180"
90044,"Athens, Los Angeles (South Los Angeles)","$29,206"
90045,"Los Angeles (Los Angeles International Airport, Westchester)","$75,684"
90046,"Los Angeles (Hollywood), West Hollywood","$57,941"
90047,"Los Angeles (South Los Angeles)","$39,269"
90048,"Los Angeles (Mid-City West), West Hollywood","$78,940"
90049,"Los Angeles (Bel Air Estates, Brentwood)","$115,629"
90056,"Ladera Heights","$84,099"
90057,"Los Angeles (Westlake)","$27,890"
90058,"Los Angeles (Southeast Los Angeles), Vernon","$17,018"
90059,"Los Angeles (Southeast Los Angeles, Watts), Willowbrook","$32,506"
90061,"Los Angeles (South Los Angeles)","$33,731"
90062,"Los Angeles (South Los Angeles)","$34,588"
90063,"City Terrace, Los Angeles (Boyle Heights)","$40,006"
90064,"Los Angeles (Cheviot Hills, Rancho Park)","$87,283"
90065,"Los Angeles (Cypress Park, Glassell Park, Mt Washington)","$54,078"
90066,"Culver City, Los Angeles (Mar Vista)","$68,132"
90067,"Los Angeles (Century City)","$97,891"
90068,"Los Angeles (Hollywood)","$73,693"
90069,"Los Angeles (Hollywood, Melrose), West Hollywood","$78,979"
90077,"Los Angeles (Bel Air Estates, Beverly Glen)","$164,281"
90094,"Los Angeles (Playa Vista)","$104,367"
90201,"Bell, Bell Gardens, Cudahy","$37,254"
90210,"Beverly Hills","$145,227"
90211,"Beverly Hills","$69,638"
90212,"Beverly Hills","$92,476"
90220,"Compton, Rancho Dominguez","$47,882"
90221,"Compton, East Rancho Dominguez","$41,960"
90222,"Compton, Rosewood, Willowbrook","$37,881"
90230,"Culver City","$74,823"
90232,"Culver City","$77,004"
90240,"Downey","$76,907"
90241,"Downey","$57,372"
90242,"Downey","$58,669"
90245,"El Segundo","$85,727"
90247,"Gardena","$42,926"
90248,"Gardena","$53,306"
90249,"Gardena","$51,181"
90250,"Hawthorne (Holly Park)","$46,172"
90254,"Hermosa Beach","$111,187"
90255,"Huntington Park, Walnut Park","$35,917"
