LAT,LON,ZIPcode
33.7058,-118.2906,90731
33.7062,-118.2917,90731
33.7065,-118.2879,90731
33.7065,-118.2928,90733
33.707,-118.2901,90731
33.707,-118.2907,90731
33.707,-118.2912,90731
33.707,-118.2916,90731
33.707,-118.2939,90731
33.7071,-118.288,90731
33.7079,-118.2863,90731
33.7079,-118.2879,90731
33.7079,-118.2901,90731
33.7079,-118.2907,90731
33.7079,-118.2912,90731
33.7079,-118.2916,90731
33.7079,-118.2929,90731
33.7087,-118.2862,90731
33.7088,-118.2879,90731
33.7088,-118.2901,90731
33.7088,-118.2907,90731
33.7088,-118.2916,90731
33.7089,-118.2855,90731
33.7096,-118.2856,90731
33.7096,-118.2862,90731
33.7096,-118.2879,90731
33.7096,-118.2896,90731
33.7096,-118.29,90731
33.7096,-118.2906,90731
33.7096,-118.2912,90731
33.7096,-118.2916,90731
33.7105,-118.286,90734
33.7106,-118.2871,90731
33.7106,-118.2879,90731
33.7106,-118.2907,90731
33.7106,-118.2912,90731
33.7106,-118.2916,90731
33.7106,-118.2929,90733
33.7108,-118.2985,90731
33.7112,-118.301,90733
33.7113,-118.3014,90733
33.7115,-118.2879,90731
33.7115,-118.2916,90731
33.7115,-118.2929,90733
33.7116,-118.2874,90731
33.7116,-118.2879,90731
33.7116,-118.2897,90731
33.7116,-118.2981,90731
33.7119,-118.299,90733
33.7124,-118.2907,90731
33.7124,-118.3042,90733
33.7125,-118.2864,90731
33.7125,-118.2897,90731
33.7125,-118.2916,90731
33.7125,-118.3008,90733
33.7132,-118.3028,90733
33.7132,-118.3061,90733
33.7133,-118.2907,90731
33.7134,-118.2898,90731
33.7134,-118.2916,90731
33.7135,-118.3037,90733
33.7135,-118.307,90733
33.7136,-118.2904,90731
33.7136,-118.2981,90733
33.7137,-118.3003,90733
33.7139,-118.2991,90731
33.714,-118.3068,90733
33.7141,-118.3089,90731
33.7142,-118.3055,90733
33.7143,-118.2907,90731
33.7143,-118.2912,90731
33.7143,-118.2916,90731
33.7143,-118.2929,90731
33.7144,-118.2997,90733
33.7147,-118.3112,90733
33.7148,-118.3042,90733
33.715,-118.3052,90731
33.715,-118.3123,90733
33.7152,-118.2889,90731
33.7152,-118.2898,90731
33.7152,-118.2916,90731
33.7152,-118.3029,90731
33.7152,-118.3084,90733
33.7156,-118.3094,90733
33.7157,-118.3147,90733
33.7159,-118.3047,90731
