division,average_distance,#
SOUTHEAST,7.986628791955267,12361
77TH STREET,3.8153187596846356,11838
SOUTHWEST,6.031604059943756,9056
HOLLYWOOD,7.970584179402914,8188
CENTRAL,6.467955571269435,7577
NEWTON,3.336010566302556,6602
RAMPART,4.996669586115492,6316
OLYMPIC,4.637380691536412,5640
HOLLENBECK,139.0906255840031,5291
WILSHIRE,6.968401705472313,4943
VAN NUYS,8.923010853235077,3944
NORTH HOLLYWOOD,8.468296865185557,3896
PACIFIC,9.573428038997918,3669
TOPANGA,10.470964022065237,3406
DEVONSHIRE,10.797783580950274,3288
MISSION,10.043875369407335,3068
FOOTHILL,7.672475503443982,2533
WEST VALLEY,7.443745425254035,2327
NORTHEAST,8.11431830646111,2003
WEST LOS ANGELES,8.328602048442113,1790
HARBOR,3.2823398078685964,1583
